GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-backend,com.econocom.auth.util,JwtUtil,2,119,1,1,0,30,1,13,0,13
auth-backend,com.econocom.auth.util,LoggingUtil,0,63,0,10,0,21,0,8,0,1
auth-backend,com.econocom.auth.exception,AuthenticationException,0,4,0,0,0,2,0,1,0,1
auth-backend,com.econocom.auth.exception,GlobalExceptionHandler,46,64,0,0,11,17,2,4,2,4
auth-backend,com.econocom.auth.exception,SsoException,0,4,0,0,0,2,0,1,0,1
auth-backend,com.econocom.auth.exception,InvalidCredentialsException,0,4,0,0,0,2,0,1,0,1
auth-backend,com.econocom.auth,AuthApplication,5,3,0,0,2,1,1,1,1,1
auth-backend,com.econocom.auth.controller,AuthController,0,119,0,4,0,26,0,7,0,5
auth-backend,com.econocom.auth.config,SecurityConfig,0,62,0,0,0,20,0,2,0,2
auth-backend,com.econocom.auth.config,CorsConfig,0,68,0,0,0,9,0,2,0,2
auth-backend,com.econocom.auth.model,Usuario,15,68,0,0,6,22,1,12,1,12
auth-backend,com.econocom.auth.filter,JwtAuthenticationFilter,0,142,2,8,0,32,2,6,0,3
auth-backend,com.econocom.auth.service,AuthServiceImpl,0,234,0,10,0,41,0,10,0,5
